Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD
Date,,,,,,,,,,,,,,,,,,
2018-02-08,4394.16357421875,3188.173095703125,8265.58984375,4740.0,3720.0,8265.58984375,4760.0,3730.0,8558.76953125,4700.0,3680.0,7637.85986328125,4710.0,3680.0,7637.85986328125,68461000.0,111109200.0,9346750464
2018-02-09,4370.9873046875,3179.6025390625,8736.98046875,4715.0,3710.0,8736.98046875,4745.0,3730.0,8736.98046875,4670.0,3680.0,7884.7099609375,4680.0,3690.0,8271.83984375,71076500.0,93140200.0,6784820224
2018-02-10,,,8621.900390625,,,8621.900390625,,,9122.5498046875,,,8295.4697265625,,,8720.080078125,,,7780960256
2018-02-11,,,8129.97021484375,,,8129.97021484375,,,8616.1298828125,,,7931.10009765625,,,8616.1298828125,,,6122189824
2018-02-12,4357.08203125,3256.73583984375,8926.5703125,4700.0,3800.0,8926.5703125,4760.0,3800.0,8985.919921875,4700.0,3700.0,8141.43017578125,4760.0,3700.0,8141.43017578125,38409500.0,81517000.0,6256439808
2018-02-13,4412.7041015625,3325.298583984375,8598.3095703125,4760.0,3880.0,8598.3095703125,4785.0,3890.0,8958.4697265625,4750.0,3810.0,8455.41015625,4760.0,3810.0,8926.7197265625,59406000.0,108236400.0,5696719872
2018-02-14,4394.16357421875,3308.157958984375,9494.6298828125,4740.0,3860.0,9494.6298828125,4775.0,3910.0,9518.5400390625,4710.0,3830.0,8599.919921875,4745.0,3900.0,8599.919921875,75553000.0,67665200.0,7909819904
2018-02-15,4347.8115234375,3291.01708984375,10166.400390625,4690.0,3840.0,10166.400390625,4785.0,3870.0,10234.7998046875,4690.0,3820.0,9395.580078125,4780.0,3860.0,9488.3203125,52958500.0,52893500.0,9062540288
2018-02-16,4347.8115234375,3291.01708984375,10233.900390625,4690.0,3840.0,10233.900390625,4690.0,3840.0,10324.099609375,4690.0,3840.0,9824.8203125,4690.0,3840.0,10135.7001953125,0.0,0.0,7296159744
2018-02-17,,,11112.7001953125,,,11112.7001953125,,,11139.5,,,10149.400390625,,,10207.5,,,8660880384
2018-02-18,,,10551.7998046875,,,10551.7998046875,,,11349.7998046875,,,10326.0,,,11123.400390625,,,8744009728
2018-02-19,4496.13818359375,3308.157958984375,11225.2998046875,4850.0,3860.0,11225.2998046875,4850.0,3860.0,11273.7998046875,4730.0,3820.0,10513.2001953125,4735.0,3850.0,10552.599609375,50185500.0,63409000.0,7652089856
2018-02-20,4454.42138671875,3256.73583984375,11403.7001953125,4805.0,3800.0,11403.7001953125,4840.0,3860.0,11958.5,4775.0,3780.0,11231.7998046875,4820.0,3840.0,11231.7998046875,34830000.0,91506500.0,9926540288
2018-02-21,4454.42138671875,3256.73583984375,10690.400390625,4805.0,3800.0,10690.400390625,4835.0,3800.0,11418.5,4745.0,3750.0,10479.099609375,4790.0,3800.0,11372.2001953125,62499000.0,109361300.0,9405339648
2018-02-22,4431.24560546875,3231.024658203125,10005.0,4780.0,3770.0,10005.0,4835.0,3790.0,11039.099609375,4750.0,3760.0,9939.08984375,4820.0,3780.0,10660.400390625,47217000.0,103834700.0,8040079872
2018-02-23,4496.13818359375,3248.165283203125,10301.099609375,4850.0,3790.0,10301.099609375,4895.0,3810.0,10487.2998046875,4790.0,3760.0,9734.5595703125,4805.0,3760.0,9937.0703125,82233000.0,107749300.0,7739500032
2018-02-24,,,9813.0703125,,,9813.0703125,,,10597.2001953125,,,9546.9697265625,,,10287.7001953125,,,6917929984
2018-02-25,,,9664.73046875,,,9664.73046875,,,9923.2197265625,,,9407.0595703125,,,9796.419921875,,,5706939904
2018-02-26,4361.71728515625,3205.3134765625,10366.7001953125,4705.0,3740.0,10366.7001953125,4845.0,3790.0,10475.0,4700.0,3730.0,9501.73046875,4830.0,3750.0,9669.4296875,85227500.0,97544400.0,7287690240
2018-02-27,4366.3525390625,3231.024658203125,10725.599609375,4710.0,3770.0,10725.599609375,4755.0,3790.0,10878.5,4660.0,3730.0,10246.099609375,4745.0,3740.0,10393.900390625,87429500.0,76509500.0,6966179840
2018-02-28,4296.8251953125,3239.5947265625,10397.900390625,4635.0,3780.0,10397.900390625,4690.0,3790.0,11089.7998046875,4615.0,3740.0,10393.099609375,4680.0,3780.0,10687.2001953125,132869000.0,126297800.0,6936189952
2018-03-01,4296.8251953125,3248.165283203125,10951.0,4635.0,3790.0,10951.0,4645.0,3820.0,11052.2998046875,4620.0,3780.0,10352.7001953125,4620.0,3800.0,10385.0,125474500.0,107991400.0,7317279744
2018-03-02,4241.2021484375,3248.165283203125,11086.400390625,4575.0,3790.0,11086.400390625,4625.0,3790.0,11189.0,4550.0,3740.0,10850.099609375,4615.0,3790.0,10977.400390625,151511000.0,61833600.0,7620590080
2018-03-03,,,11489.7001953125,,,11489.7001953125,,,11528.2001953125,,,11002.400390625,,,11101.900390625,,,6690570240
2018-03-04,,,11512.599609375,,,11512.599609375,,,11512.599609375,,,11136.099609375,,,11497.400390625,,,6084149760
2018-03-05,4241.2021484375,3231.024658203125,11573.2998046875,4575.0,3770.0,11573.2998046875,4660.0,3800.0,11704.099609375,4575.0,3770.0,11443.900390625,4630.0,3800.0,11532.400390625,87744000.0,55258400.0,6468539904
2018-03-06,4222.66064453125,3196.7431640625,10779.900390625,4555.0,3730.0,10779.900390625,4640.0,3810.0,11500.099609375,4545.0,3700.0,10694.2998046875,4635.0,3780.0,11500.099609375,75907000.0,91074000.0,6832169984
2018-03-07,4190.21533203125,3136.750732421875,9965.5703125,4520.0,3660.0,9965.5703125,4630.0,3730.0,10929.5,4505.0,3650.0,9692.1201171875,4620.0,3720.0,10803.900390625,106152000.0,141612300.0,8797910016
2018-03-08,4320.0009765625,3231.024658203125,9395.009765625,4660.0,3770.0,9395.009765625,4680.0,3770.0,10147.400390625,4550.0,3690.0,9335.8701171875,4600.0,3730.0,9951.4404296875,102994500.0,130641100.0,7186089984
2018-03-09,4320.0009765625,3162.461669921875,9337.5498046875,4660.0,3690.0,9337.5498046875,4660.0,3750.0,9466.349609375,4595.0,3680.0,8513.0302734375,4660.0,3720.0,9414.6904296875,66797000.0,99179200.0,8704190464
2018-03-10,,,8866.0,,,8866.0,,,9531.3203125,,,8828.4697265625,,,9350.58984375,,,5386319872
2018-03-11,,,9578.6298828125,,,9578.6298828125,,,9711.8896484375,,,8607.1201171875,,,8852.7802734375,,,6296370176
